Superordinate,Basic-level,Natural,Familiar,Large,Animate,Comments
vehicle,airplane,FALSE,TRUE,TRUE,TRUE,yes
tool,alarm_clock,FALSE,TRUE,FALSE,FALSE,"moderately (it can be broken down mainly into digital and analog, circle/square, hello kitty / not hello kitty)"
animal,ant,TRUE,TRUE,FALSE,TRUE,for the most part; since they're small they might all look the same though; lots of pose variance
animal,ape,TRUE,FALSE,TRUE,TRUE,"yes, esp in terms of pose"
food,apple,TRUE,TRUE,FALSE,FALSE,"kind of, but mainly in terms of color and if other objects are associated with it"
clothing,armor,FALSE,FALSE,TRUE,FALSE,"not that much, all the armor faces forward and the main variance is if it's body armor or full armor"
tool,axe,FALSE,FALSE,FALSE,FALSE,yes -- in terms of pose and head shape
food,banana,TRUE,TRUE,FALSE,FALSE,"somewhat, only variance  in pose and if its peeled/bitten"
animal,bat,TRUE,FALSE,FALSE,TRUE,"yes; extremely high pose variance, but not as much in prototypicality"
animal,bear,TRUE,FALSE,TRUE,TRUE,"yes, mainly in terms of pose/ if its a panda or not"
animal,bee,TRUE,TRUE,FALSE,TRUE,only really in pose
animal,beetle,TRUE,TRUE,FALSE,TRUE,"yes, but there's a lot of variance in color that can't be captured"
tool,bell,FALSE,FALSE,NaN,FALSE,no; bells basically all look the same
furniture,bench,FALSE,TRUE,TRUE,FALSE,"relatively little, most pictures are all front facing park benches "
vehicle,bicycle,FALSE,TRUE,TRUE,TRUE,"no, only variance is left/right facignn bikes, with a few outliers"
vehicle,blimp,FALSE,FALSE,TRUE,FALSE,yes; in terms of pose
food,bread,FALSE,TRUE,FALSE,FALSE,"yes, some are square, some of baguettes, round etc"
animal,butterfly,TRUE,TRUE,FALSE,TRUE,yes! so many patterns on the wings
place,cabin,FALSE,FALSE,TRUE,FALSE,variance mainly in pose
animal,camel,TRUE,FALSE,TRUE,TRUE,"yes, in terms of pose/ only showing the head"
tool,candle,FALSE,TRUE,FALSE,FALSE,"no; there's two main divisions: skinny/stout, on cake/by itself"
tool,cannon,FALSE,FALSE,TRUE,FALSE,"somewhat; has high pose variance, and decent variance in length of cannon"
vehicle,car_(sedan),FALSE,TRUE,TRUE,TRUE,"yes, esp in pose but has many different models of cars"
place,castle,FALSE,FALSE,TRUE,FALSE,"yes! wide ones, lopsided ones"
animal,cat,TRUE,TRUE,FALSE,TRUE,"yes, many different cat poses, but a lot of variance is in fur patterns"
furniture,chair,FALSE,TRUE,FALSE,FALSE,"somewhat, but little pose variance"
animal,chicken,TRUE,TRUE,FALSE,TRUE,"not much, only in pose"
place,church,FALSE,TRUE,TRUE,FALSE,"yes, buildings seem to have high variance"
furniture,couch,FALSE,TRUE,TRUE,FALSE,"no, they're all front facing and the variance is in the color/patterns of the couches"
animal,cow,TRUE,FALSE,TRUE,TRUE,"moderate variance in pose, some variance in the black/white patterns but people didn't draw them "
animal,crab,TRUE,FALSE,FALSE,TRUE,"decent, a lot of variance in claw position"
animal,crocodilian,TRUE,FALSE,TRUE,TRUE,low variance except for pose
tool,cup,FALSE,TRUE,FALSE,FALSE,"yes, a lot of different types of cups"
animal,deer,TRUE,FALSE,TRUE,TRUE,"not very much, mainly in pose"
animal,dog,TRUE,TRUE,FALSE,TRUE,"yes, many different poses"
animal,dolphin,TRUE,TRUE,TRUE,TRUE,"not really, just in pose"
,door,FALSE,TRUE,TRUE,FALSE,"no orientation variance, but there's a lot of different shapes"
animal,duck,TRUE,TRUE,FALSE,TRUE,"somewhat, has a few flying fucks and different positions"
animal,elephant,TRUE,FALSE,TRUE,TRUE,"yes, pictures taken at many angles doing different things"
tool,eyeglasses,FALSE,TRUE,FALSE,FALSE,no
,fan,FALSE,TRUE,FALSE,FALSE,"yes, esp in number of blades"
animal,fish,TRUE,TRUE,FALSE,TRUE,"yes, there are a good number of different species"
,flower,TRUE,TRUE,FALSE,FALSE,"yes, a lot of sunflowers but a lot of other things too"
